"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","map_number"
227,"spoorweglaan","Chemin de fer, boul. du","rue d'argile — rue de l’église (Gendbrugge). ",,,"83 96"
228,"eikhoutstr.","Chênaie, r. de la","place Van Duyse — boul. Charles de Kerckhove. (",5,2,88
229,"paardestr.","Cheval, r. du","r. du mouton — r. des ruines. (",7,1,62
230,"ridderstr.","Chevaliers, r. des","r. de la frise — r. du miroir. (",1,1," 50-60"
231,"geitestr.","Chèvre, r. de la","ch. de Tronchiennes — r. de l'arbre. (",6,3,45
232,"koolsteeg","Choux, r. aux","r. de Bruges — place Ste Elisabeth. (",2,3,48
233,"chrysanthemumstr.","Chrysanthème, r. du","avenue Ryhove — r. du maïs. ",10,3,17
234,"kerkhofstr.","Cimetière, r. du","dans la r. de l'église ",10,3,36
235,"vijfwindgatstr.","Cinq vannes, r. des","r. l. des violettes boul. Frère-Orban. (",4,1," 80 81"
236,"wasstr.","Cire, r. de la","r. de l’abeille — r. d'Oostacker. (",7,1,53
237,"citadellaan","Citadelle, boul. de la","r. de la Colline pont de Terplaeten.","5|5",2,99
238,"citroenstr.","Citron, r. du","r. de la glacière — r. De Smet. ",10,3,36
239,"Clementinalaan","Clémentine, av.","ch. de Courtrai — pl. Marie-Henriette. (",9,2," 96 97"
240,"klokstr.","Cloche, r. de la","boul. du gazomètre — r. de la glacière.",10,3,26
241,"klokstr.","Cloche, r. de la","place de l'église — arrièrepré.",,,
242,"verkensstr.","Gendbrugge. Cochons, r. des","r. de la plume — r. c. d'argent. (",2,3," 38-48"
243,"heuvelstr.","Colline, r. de la","pl. St Pierre — boul. de la citadelle. (",5,2," 88-99"
244,"Colpaertsteeg","Colpaert, impasse","coupure, r. g.",11,2,56
245,"koophandelplaats","Commerce, place du","r. des champs et pont des récollets — pont des chaudronniers. (",1,2,68
246,"eedverbondstr.","Compromis, r. du","aven. de l'Yser — r. de la prairie. (",9,2,87
247,"eedverbondkaai","Compromis, q. du","aven. de l'Yser — le long de la Lys. (",9,2," 86 87"
248,"Graaf van Vlaanderenplaats","Comte de Flandre, place du","Place Wilson — boulevard Frère-Orban. (",4,1," 71 80"
249,"Graaf de Smet de Naeyerplaats","Comte de Smet de Naeyer, place","avenue de la Liberté — avenue des Eperons d'or. (",9,2,107
250,"eendrachtstr.","Concorde, r. de la","boul. du château boulev. de l’Escaut. (",7,1," 72-82"
251,"eendrachtstr.","Concorde, r. de la","r. de la paix — r. de l’institut. (Gendbrugge). ",,,83
252,"conduitsteeg","Conduit, r. du","r. courte du marais — r. des champs. (",1,2,69
253,"gildestr.","Confrérie, r. de la","r. neuve St Jacques — mar. aux veaux. (",1,1," 50-51"
254,"Congostr.","Congo, r. du","digue des blanchisseurs — r. de Boma. (",8,1," 40-41"
255,"Congresstr.","Congrès, r. du","aven, militaire — pl. de la constitution. (",9,2,107
256,,"Conscience, r.","Voir Henri Conscience, r.",,,
257,"Grondwetplaats","Constitution, pl. de la","av. de la liberté — av. des éperons d'or. (",9,2,107
258,"grondwetdreef","Constitution, avenue de la","chaussée d'Anvers — rue de Gand (Mont-St Amand) ",,,34
259,"contributiestr.","Contribution, r. de la","r. de la porte de Bruges — fin coupure (r. droite). (",2,2,46
260,"haanstr.","Coq, r. du","ch. de Meulestede, entre les nos 258 et 260 — r. du paon. (",8,1,11
261,"ravenstr.","Corbeau, r. du","r. des champs — la Lys. (",1,2,59
262,"corianderstr.","Coriandre, r. de la","r. du pont Madou — grand toquet. (",5,2,70
263,"hoornstr.","Corne, r. de la","r. des champs — pont des dominicains. (",1,2,59
264,"kraaistr.","Corneille, r. de la","r. du sable — ch. de Zwynaerde. (",9,2,98
265,"posthoornstr.","Cornet de poste, r. du","Pl. Emile Braun — r. des foulons. (",1,2,59
266,"posthoornstr.","Cornet de poste, r. du","ch. de Bruxelles r. — du cornet de poste. (Gendbrugge) (Ledeberg). ",,,92
267,"posthoornstr.","Cornet de poste, r. du","r. du cornet de poste (Ledeb.) — r. de l’église. (Gendbrugge). ",,,"82 92"
268,"plottersgracht","Corroyeurs, fossé des","r. ducale — r. du roitelet. (",3,3,49
269,,"Corsets rouges, r. des","Voir filles-dieu, r. des.",,,
270,"katoenstr.","Coton, r. du","ch. de Bruges — allée verte (",6,3,15
271,"coupure, rechter oever","Coupure, rive droite","quai aux tilleuls — r. de la contribution. (",2,2," 46-77"
272,"coupure, linker oever","Coupure, rive gauche","p. du pain perdu — nouvelle promenade. ",11,2," 46-77"
